SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC)
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-56,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:27.129
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",84,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:29.686
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",84,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:31.101
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",84,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:32.127
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-53,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:33.793
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-53,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:35.916
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-53,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:38.019
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-52,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:39.268
"KT_GiGA_5G_Wave2_61CF",00:07:89:D2:61:D3,"Allradio Co., Ltd",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:40.544
"KT_GiGA_5G_Wave2_61CF",00:07:89:D2:61:D3,"Allradio Co., Ltd",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:42.120
"KT_GiGA_5G_Wave2_61CF",00:07:89:D2:61:D3,"Allradio Co., Ltd",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:43.154
"KT_GiGA_5G_Wave2_61CF",00:07:89:D2:61:D3,"Allradio Co., Ltd",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:44.940
